time (min),male1,male2,male3,male4,male5,male6
45,716.8397454945641,800.6280185048721,724.4976156001765,754.1031620204686,782.0775528161513,709.3334270790062
46,710.2886668651897,793.496183893676,718.0317867637442,747.2515406518107,775.1648517483077,702.9849607483449
47,703.8047370644713,786.5170312617505,711.7615437688357,740.4949371868526,768.4669597348013,696.7471445729568
48,697.117148434346,779.3316448038969,705.2770440948557,733.5412226750948,761.5220839868811,690.3291341516858
49,690.3546429408439,772.0912411561486,698.7158888585732,726.5810024751676,754.5223036067359,683.8661051743408
50,683.6827851257956,764.9330862942671,692.2496093197493,719.6474077088644,747.6096198721431,677.468568223019
51,676.9448276969025,757.6876367295457,685.7017971294931,712.519206247524,740.6439803400109,670.9886759438073
52,669.9075392752627,750.0718168797564,678.7856508534766,705.229234139516,733.2754102809869,664.2083279522925
53,663.1712444518419,742.7752114520011,672.2392130988129,698.2192587713847,726.2888359090919,657.7514138388661
54,656.2911178395697,735.3966850334839,665.5504519719876,691.0467055932489,719.1467895925889,651.1574486769034
55,649.368150022848,727.9659834923606,658.8326120447414,683.874381947255,711.9762518005472,644.5501129502834
56,642.4269237177808,720.4694028509977,652.0317032265818,676.6027157242643,704.7465812867412,637.836435484903
57,635.5253145604958,712.9966786094773,645.2668820719387,669.3499283510814,697.5019983308349,631.1650035759296
58,628.4888997059105,705.3104399776101,638.3502711771289,661.9903041547554,690.0808203998173,624.3641404861015
59,621.4587162437202,697.7262065618664,631.5133566873011,654.6623597981576,682.7824150701596,617.6455821487926
60,614.3902065534189,690.1283721415723,624.6478796469942,647.3353531059773,675.4638706110223,610.8715356663848
61,607.4138890530519,682.5701220151303,617.808653067108,640.0610635689753,668.2054226489398,604.1568469848374
62,600.4669206001028,675.0791625092295,611.0215971532833,632.786041017645,660.9565794560953,597.5192043816583
63,593.507475916002,667.5217618252307,604.2093917734492,625.465662092098,653.665805709368,590.7843485678051
64,586.4402019296535,659.8571187849169,597.2792077703209,618.0998074679812,646.3000188019973,583.9823041277175
65,579.5028916575561,652.3627733008365,590.5015197421907,610.847199929609,639.0647624259506,577.3379509528978
66,572.4379255556996,644.6964111638953,583.552325852456,603.4642055425442,631.6505813913112,570.534634106674
67,565.4373098396841,637.0594986030871,576.659929457001,596.1754798170226,624.2977648499734,563.8037677184517
68,558.4437755505294,629.4958857047841,569.8045316091005,588.8572105583384,616.99941649505,557.0746252097154
69,551.5906818977019,622.0556000629272,563.1091956792482,581.6830188532716,609.8202814446199,550.461491246563
70,544.5774065099708,614.38954772169,556.185155928409,574.3519732493784,602.4350636792952,543.683960322415
71,537.5054765249798,606.7258254142259,549.2135780039819,566.9643868883527,595.003568642747,536.9044185095031
72,530.6442360600055,599.2894653646257,542.4935181379628,559.7655568705658,587.8089306460614,530.3143303656905
73,523.7542679397772,591.7849660750668,535.7363255494024,552.6575211633351,580.5883841910473,523.6560022855933
74,516.9370547506865,584.3202905319995,529.0200475068938,545.4523349584043,573.4284907868537,517.1246351734997
75,510.3016443308881,577.0374403472098,522.4725341418292,538.4321965327739,566.4322190719038,510.72705209569614
76,503.5447786581568,569.6643468165859,515.8051321848711,531.3534421479517,559.3141769325204,504.1894506161196
77,496.736516534774,562.2079311097915,509.0491834389394,524.2310977365316,552.0981682573881,497.56483367472964
78,489.8513509635957,554.8079141469184,502.30749820930436,517.0705276194105,544.9095379626075,490.98628212969174
79,483.11078242494847,547.354401654287,495.590712809615,509.9929881132905,537.715827849465,484.43119249791033
80,476.5528185380966,540.2364476663321,489.18515388619073,503.17083773443306,530.9023429345804,478.21374798595053
81,470.0635657359413,533.1035776225453,482.7889650183313,496.3934385397262,524.058638048388,471.95546436544765
82,463.5346902646419,525.9191779531635,476.27203755339696,489.4873216778485,517.1148101040887,465.6169463101806
83,456.8637728872897,518.615491165728,469.6426362260845,482.49155468831043,510.0373092579155,459.13315336537613
84,450.1989554310507,511.37791288553274,463.0750067471962,475.61120514386124,503.0147618037797,452.6959014879138
85,443.95186552112193,504.49567250865124,456.91407239630036,469.06250239511087,496.442241076916,446.7147517015371
86,437.63872676527603,497.5832997623304,450.6618994776115,462.40897872745234,489.7423386980624,440.6054816695328
87,431.15467183227736,490.4414041959466,444.1988588507521,455.6099510266527,482.8488544181883,434.3150379783017
88,424.94101729776975,483.55911646636446,438.02535647387816,449.07295358684655,476.2333767099887,428.2833422894849
89,418.81309894774716,476.8318197292319,431.9776944503471,442.6974007958963,469.7424424935328,422.39168110614685
90,412.51795924235273,469.93404768450534,425.7200143941211,436.082351550522,463.0635810705624,416.2697638188186
91,406.15288852386914,462.98589267752715,419.3843387673755,429.43238904769015,456.3025016453754,410.1045478607748
92,400.2731796473774,456.40667312645877,413.53792239862406,423.2528533610227,450.0088075600334,404.41797589726343
93,394.1412481197548,449.6934221435055,407.44209056761775,416.90377293047453,443.5268598663409,398.51204516382774
94,388.0606219784279,442.96780409791376,401.3541623474244,410.4940249917432,437.0468010387086,392.5754195295116
95,382.349539217165,436.6508418614694,395.7050116470243,404.51750663109254,430.9673189844332,387.08968302836536
96,376.42117719038447,430.13068645015784,389.76861449079416,398.3268744203913,424.6389588103293,381.30978748880875
97,370.48278266478,423.5926826289811,383.85028696940515,392.10167687864634,418.3109795112003,375.54499058725145
98,364.8022645256884,417.28097034844325,378.2099058051958,386.173099740008,412.25678607401994,370.0549364607717
99,358.9666985858195,410.84490289483097,372.3901051004805,380.07850535958045,406.0416173829393,364.38887733174676
100,353.4749599865074,404.72710920305343,366.892973389072,374.28663831928765,400.133891754181,359.0628209883579
101,347.8347190113048,398.39319332220447,361.22113848339364,368.35093264518747,394.0570751755733,353.5406430630473
102,342.10206377151286,392.1598092380398,355.5152901199017,362.3952366612113,388.00050574181125,348.01171930415046
103,336.8259180978616,386.265705579248,350.2434813288514,356.89362071732234,382.30971265341446,342.88317453896815
104,331.2717195470163,380.0660344598755,344.6463320107666,351.05635182303763,376.3255196876064,337.4587169290972
105,326.0696765403125,374.2798527036653,339.4751282305493,345.60508462152546,370.73072943073134,332.4338825580188
106,320.5552343421432,368.162839098204,333.90250800786646,339.77324564024065,364.7864767199011,327.00338696262133
107,315.3705992077255,362.4192963969985,328.7402668902075,334.39405509394294,359.2623901635577,321.97800824408694
108,310.26715810332297,356.723481015403,323.630402259241,329.0751092576597,353.762654670961,317.0163496538338
109,304.86545452901834,350.73490495481957,318.1782233450998,323.4303087884074,347.9679829697882,311.7262398214234
110,299.98736020947,345.24130848309983,313.3015391612678,318.34765693092413,342.68245263772116,306.98910452120043
111,294.68326638490515,339.3225510521657,307.8913029092874,312.73400952772585,336.9543390075681,301.74539102395653
112,290.0579237885215,334.1321986358886,303.27017592523976,307.84603640640114,331.91966115165474,297.22691188321835
113,284.9213316132093,328.4192592200024,298.08996094368706,302.51943825770115,326.4367730009427,292.25504370659723
114,280.3651926225656,323.2784678417907,293.51954750992536,297.7776314602769,321.45549940500933,287.8131170806168
115,275.2676959042908,317.5921305186697,288.3519436544054,292.40291742947977,315.9620067858832,282.79769796216783
116,270.90141922959145,312.68253467021793,283.9957943961392,287.8392283125303,311.20600274027856,278.5002658149628
117,265.78041287244673,307.0181943253638,278.79714698381497,282.47519333358156,305.7202865392958,273.5040507858478
118,261.56832394116,302.2079817325583,274.5296856663201,277.9936717606796,301.07695009115685,269.36442151980157
119,256.577175406804,296.6222471676937,269.4908549745759,272.91194419345777,295.67089983580416,264.45192613557543
120,252.32830325473557,291.8524411229059,265.24640435510224,268.4240837525604,291.0532034728022,260.3393578190749
121,247.70085108762694,286.70176805724185,260.57397198424593,263.54535197706497,286.10354195823317,255.83209752150975
122,243.4779617275712,281.8842852702716,256.2579499877552,259.09618101225203,281.41690289291387,251.6056278167281
123,239.2888947534198,277.1515997271245,252.01749931583524,254.76453412166515,276.84231619697414,247.50505695046692
124,234.85634045913173,272.1775798663406,247.51026863239,250.11394491136193,272.0435069282211,243.15308339390555
125,230.80912112278105,267.5749873720726,243.3979204899957,245.83129637897426,267.5727996951869,239.14818724972034
126,226.4583762065587,262.72100735375193,239.0355930434653,241.36352450615473,262.8805489708178,234.87737586921142
127,222.5410621043021,258.29713210705756,235.0500783647466,237.23578354950112,258.59751750484736,231.02892513556532
128,218.3016830390416,253.50147328778306,230.69371072724834,232.77129202707314,253.95986261552562,226.8464500951923
129,214.49215372702855,249.1680376533751,226.85127535819,228.7903752255156,249.7750886839819,223.07924485635033
130,210.34103970908458,244.50418870632208,222.6523688551758,224.47926169309932,245.24513043326007,218.9891690507796
131,206.60516731036768,240.2861230811836,218.8511297734388,220.56938927995765,241.1361622367052,215.3167466786147
132,202.73551784690775,235.88865913134097,214.8982814949034,216.4910174362867,236.84820681298507,211.4483655697841
133,198.89075121156236,231.5545345033408,211.00518224568262,212.54290909964547,232.68972582696446,207.69947580043348
134,195.31367053235653,227.46598674716202,207.35231672890248,208.74976015770912,228.72197325470137,204.1625352734882
135,191.4875085200537,223.09218301263007,203.3936800007814,204.68782619643068,224.46127894549898,200.29462229071376
136,187.97865356281443,219.15981858172674,199.88111191229922,201.09577795677203,220.6394680694603,196.85527461958176
137,184.31393962200863,215.0039859530505,196.1351607605283,197.25437739445334,216.630387009552,193.23439418907458
138,180.81154394385254,210.9904416954322,192.53504126616673,193.56874903367006,212.70705438432586,189.74889656764543
139,177.3909999000093,207.07237346113808,189.04624678703394,189.99657073999637,208.91375880581137,186.3571363837503
140,173.93956628354223,203.12491937817143,185.49160731027445,186.32654555509717,205.0891195185397,182.91469691029067
141,170.66723460974723,199.4070549052503,182.15457737096486,182.8929756805064,201.48362160918435,179.661215312932
142,167.3576408401834,195.6639209621969,178.78158731642463,179.46607681806316,197.84747533130758,176.3761345242994
143,164.13047456515093,191.98770165796935,175.47325951205738,176.10891133629693,194.28625007954489,173.1793397498889
144,160.85970304465567,188.24232408396654,172.11607068659134,172.67812830646736,190.6290877278199,169.9192713013514
145,157.79098486287836,184.72500099630628,168.9900012953575,169.44341100312957,187.2200494077213,166.8715289511146
146,154.62714326759559,181.079570649671,165.71456444069366,166.11023251224825,183.69136109432003,163.67054206563174
147,151.53094859210736,177.54946921683188,162.54494932329231,162.87077330361038,180.25649234944117,160.60035554156903
148,148.49428599716867,174.0738353621057,159.4091202505889,159.6741550946207,176.8637834665366,157.5339423052978
149,145.52426699605715,170.68479285436428,156.37244025588697,156.56795775158747,173.56405025312168,154.57784233558687
150,142.6980666726531,167.43036795529744,153.4824396197789,153.63740555493857,170.41201993519616,151.75916732428752
151,139.79461605181623,164.07465730423294,150.4536304615318,150.5596336642908,167.16944059231596,148.8263256428433
152,136.96046032767757,160.8230458810205,147.52919574349383,147.56581549579758,163.98178642618785,145.98246540612413
153,134.21995803642412,157.6606043353715,144.68029695301763,144.697169053548,160.9092417970631,143.23038643850182
154,131.4452347904126,154.50818632283216,141.84438459740977,141.8160381533397,157.79972979696782,140.45145070199607
155,128.7448390334196,151.39393070291865,139.0538661973665,138.92433319716025,154.75466097913846,137.69832528846356
156,126.13538418951883,148.39933904222892,136.40009511117754,136.23064512422977,151.87295400220717,135.12856661734878
157,123.57513386548352,145.42900633102718,133.73113843939205,133.51047858858126,148.98111215034967,132.53835634825907
158,120.94531936424862,142.40072345633087,130.99230053153133,130.7521401956894,146.01813231879595,129.8739171101861
159,118.4391243819235,139.48580305990347,128.4088379330579,128.1399088085181,143.17739131900427,127.31102778274482
160,115.89141979185382,136.56425699870366,125.77371530439359,125.45190105128401,140.32570325670358,124.77115629811209
161,113.59519178002289,133.9130021871701,123.40434840844037,123.01956615619923,137.74347283591996,122.46237077332584
162,111.20613655875864,131.15865211809484,120.93289526946894,120.5210421080063,135.04188010628997,120.04430139115973
163,108.81953944742256,128.38194307405666,118.44955343845501,117.98198880717901,132.3466279904123,117.60311983502416
164,106.51534274884729,125.69939334977431,116.0141834525908,115.52584288684993,129.69926690723506,115.2240148889285
165,104.24522437728612,123.09701712034956,113.67631297839809,113.1822242569242,127.14296850574247,112.9298712799652
166,101.98986442417703,120.50685462866228,111.37115255709415,110.83753193944852,124.63119771296856,110.6963016270224
167,99.82651126044736,118.01573826795055,109.11769909195768,108.54765896351446,122.19514379072896,108.50912014271815
168,97.67710539553117,115.5004382063741,106.87815321580341,106.25321495117518,119.73160012952177,106.30299862680633
169,95.50214545140548,112.9699784773039,104.61645004113332,103.97156489028212,117.26234741546865,104.10311538088106
170,93.50146671178209,110.59792998130251,102.52718711456211,101.83589665070623,114.97353753176594,102.05256807729734
171,91.42371316979889,108.19882430935594,100.3492810138313,99.65103263639904,112.58626649765698,99.92929371489431
172,89.3595006957103,105.83898585212746,98.19805478553376,97.47985707572592,110.2553870191491,97.79575605565124
173,87.4561302831557,103.6278614670207,96.21421597403098,95.46857315791665,108.07834810037437,95.87289427600079
174,85.54637336390965,101.40296529750344,94.22713023925614,93.46948711741948,105.90701605329234,93.91749484902817
175,83.6045587619104,99.1533758316234,92.19619364136148,91.41724701638643,103.718897151885,91.9498076089703
176,81.75032820595986,97.01030941963022,90.25695792458654,89.45052319842031,101.58562607620618,90.01320755387262
177,79.98500603206367,94.91779269652912,88.38746447918305,87.560740474197,99.54812598155489,88.2029796342495
178,78.18453837351498,92.8085883636793,86.49090972506951,85.64976255639658,97.45052116394153,86.32901297964766
179,76.33679543540372,90.68333569995653,84.57274285990297,83.73911027037394,95.36919188343383,84.45435909554432
180,74.65550805045142,88.71210566355109,82.83015463884799,81.98083220187308,93.43659622037508,82.73321774010886
181,72.92768531275784,86.67983760301416,81.0148883438197,80.12278669685924,91.45198472623127,80.95548220412599
182,71.25068199807085,84.72706978335982,79.24539665302015,78.32430821353972,89.51580881112383,79.22659231484985
183,69.59827673182185,82.8029202045444,77.49175032950481,76.57068668565525,87.61635556366794,77.4934373460487
184,68.00277214778691,80.93942507072775,75.83588694745664,74.89861631698143,85.78393527001634,75.86601998376258
185,66.42795838129946,79.13110917393485,74.1890467079524,73.22113906082542,83.98749052622871,74.23521235497148
186,64.83349016636582,77.22926177936665,72.48836706741707,71.51285479298194,82.13529745258342,72.59128687426885
187,63.44344022020199,75.60040845696474,71.02337319509982,70.02305255576223,80.51246328543515,71.14515459505857
188,61.92411987800657,73.85541346681273,69.4150104367349,68.40975810436662,78.75855719029242,69.55781635633109
189,60.49554025015637,72.14882515740624,67.89535804161898,66.8782434912469,77.09771850460176,68.0617805241112
190,59.06363847655391,70.48497530686532,66.40966014209197,65.36051911049587,75.45694860818807,66.59830574472407
191,57.637411279048386,68.82718515581239,64.88721630837262,63.84330337243072,73.80472051708583,65.10901365034495
192,56.268138954609526,67.22240064651434,63.44014103203761,62.38701911512018,72.23148572961098,63.675658397517104
193,54.964539745889944,65.66254199691696,62.052651214601454,60.96788381585759,70.67019829127402,62.29178172484921
194,53.58255153478191,64.02848252869558,60.55248975997535,59.4748218977228,69.06586403122897,60.82608573543697
195,52.36939741038896,62.628552830467974,59.29371889871955,58.203308132803436,67.65927969051764,59.586423097018915
196,51.09005623941868,61.13337729083014,57.92899889931816,56.858113220978304,66.17423776122119,58.239197448674034
197,49.813063446700944,59.67052660308386,56.590571658351365,55.47640791354127,64.6963691624298,56.902779092068634
198,48.65006330090926,58.30391544658788,55.35791448991902,54.23788331449873,63.333165279112315,55.6858768974542
199,47.44354687164869,56.85544765108174,54.04220825130368,52.94268076038538,61.913672007964884,54.39349945865463
200,46.31444162404886,55.513276196584606,52.84460826350289,51.731113372234724,60.579794089213195,53.214361331608494
201,45.14840506109231,54.16283719948589,51.59736614918078,50.482216392311464,59.21215375360022,51.967058431037366
202,44.00138835425503,52.824905230960965,50.371299987809856,49.26067681374456,57.88533558969452,50.76221843641421
203,42.953447058801984,51.60252385059617,49.25502174200205,48.117569820675804,56.63855785703357,49.66079126834345
204,41.86830499453899,50.297530746672365,48.073889926704254,46.93303344314898,55.3557882026799,48.495000626762014
205,40.835855228486274,49.10044306622071,46.98671201098129,45.84588381884451,54.1414298222029,47.413209364973525
206,39.825321457817225,47.908451994731884,45.906849145958425,44.747392521048134,52.95571400749257,46.35098091208527
207,38.77997503664056,46.69872134828706,44.787689823955546,43.61499616280631,51.73366464688318,45.22632960688591
208,37.85442483752339,45.621593026430546,43.80112708334494,42.64803516777159,50.644563319732576,44.23573707088959
209,36.85315322770489,44.44334624479695,42.696502439064226,41.56326795722902,49.47642977942814,43.16876025052476
210,35.95615901356016,43.36787108469789,41.734545883233885,40.54873574354364,48.39372857649017,42.21917738541203
211,35.043705718652646,42.27396061025388,40.728835472922334,39.558695429471115,47.28876447914085,41.19916169492883
212,34.135383101761896,41.22624646970048,39.78101442492667,38.61208420685589,46.22407405006913,40.25017982975001
213,33.25023331860265,40.18093203858111,38.80799583988995,37.6281355029035,45.16813306329253,39.29161311901227
214,32.38791687240495,39.181670662167704,37.886329910455785,36.71156170902691,44.143363930783735,38.37511418704367
215,31.550516768584647,38.22721524568526,36.98278792527296,35.81731640442345,43.1557147608619,37.47912453443162
216,30.720285726061967,37.234255898210925,36.06071219479597,34.88460208926474,42.15720393221132,36.5727049422723
217,29.931788128957376,36.308057036036956,35.19913569036843,34.01248314497911,41.21143503998393,35.70018074236361
218,29.125192852075244,35.3278204071917,34.304631479090276,33.1446682539203,40.25629352387014,34.82838435664913
219,28.39874670320555,34.50687769483829,33.540794046932646,32.373426759107105,39.391174611017874,34.061094929246295
220,27.63251890325653,33.58538299485745,32.661869986546435,31.509026981860593,38.462693873801626,33.205709808608525
221,26.93349357139561,32.787385800312514,31.931989670584574,30.765880175648835,37.62464874302844,32.45362563886128
222,26.16333608876749,31.885712994342967,31.069884041170305,29.915188334240455,36.7110337650663,31.604159437373802
223,25.520572529618388,31.144010459319166,30.372878855884252,29.19627406411289,35.914434611161276,30.899918986705156
224,24.811218301030635,30.285974652792444,29.575331155007525,28.42110852325649,35.050667785416415,30.11611919293177
225,24.195873120009974,29.56896948414293,28.906431227227976,27.74061979014703,34.29961789139513,29.443137152507877
226,23.497595642029346,28.7456218906078,28.142845050925313,27.000730763757293,33.47874108535,28.68682347526895
227,22.89539048812186,28.054038771931662,27.47466366018139,26.32221914679567,32.73496298717519,28.001012492470704
228,22.255253599411894,27.301382495070865,26.755128762431337,25.618411563501855,31.961670354893695,27.29393313730662
229,21.677727120917464,26.635507194148545,26.119544605564833,24.97845674859368,31.256846751116743,26.655604454257947
230,21.062265522288257,25.91159566052462,25.41851749902806,24.28764037303122,30.503678157192994,25.962361537011724
231,20.51172121108855,25.27952018088236,24.81623001929453,23.69214562863185,29.82571819687561,25.35338222649394
232,19.930740373553327,24.573412240651297,24.158228568104185,23.03064935026615,29.118515193982837,24.70855107535852
233,19.408926502628884,23.9895699380144,23.5771332776737,22.45973205197848,28.48667878840754,24.120215571462964
234,18.84575427310263,23.310729868326796,22.933266138255963,21.833702324371526,27.789086094030413,23.4879021450221
235,18.367271208239405,22.77783978953089,22.402210886109096,21.293094538196115,27.189084639572478,22.939354518722123
236,17.786621765951544,22.091459559570517,21.73657128537662,20.63411110676443,26.490929214525554,22.290510958068822
237,17.367606183832972,21.608430099339575,21.261105946600257,20.162786994057445,25.953950765815872,21.80417780555609
238,16.82383964967615,20.962730798853517,20.664208707048758,19.5731664986481,25.305020529736193,21.222345576304747
