time (min),fem1,fem2,fem3,fem4,fem5,fem6,fem7,fem8,fem9,fem10,fem11,fem12,fem13,fem14
13,7987.874773674998,8512.27619725945,20992.9890344921,55504.3864453808,55503.27168051811,26924.36565248218,15291.096702529912,19462.568124259236,36853.05798866092,13495.550750414874,25431.03571644554,8855.399995029496,14422.202958573986,11406.815313041172
14,7991.977689996712,8517.015569953313,20994.067792026697,55554.89358656992,55543.586645191106,26938.44502456165,15303.306026902537,19463.511190919995,36857.317137183454,13495.017268674867,25441.215514333686,8853.672520429696,14424.602291451614,11412.152501599854
15,7996.080299926824,8521.747584449628,20995.141352899496,55605.37676668346,55583.88319897087,26952.508563970197,15315.51269943976,19464.454765901435,36861.572869541546,13494.48251501701,25451.378257802633,8851.955085995185,14427.008668144466,11417.498917317174
16,8000.182577029116,8526.47221575666,20996.209697543985,55655.835731290266,55624.16119784688,26966.556197063986,15327.71666671135,19465.398779047704,36865.82510896864,13493.946478462667,25461.52388490659,8850.247684582791,14429.422065076735,11422.854565141155
17,8004.2844948769,8531.189438916019,20997.272806411387,55706.27022585232,55664.420497896965,26980.587850279684,15339.917875331026,19466.343160248216,36870.07377879295,13493.409148044391,25471.65233376833,8848.550308975762,14431.842458596628,11428.219449931463
18,8008.386027053308,8535.899229002895,20998.330659971285,55756.67999572682,55704.66095528852,26994.603450135208,15352.116271957211,19467.28783943879,36874.31880243832,13492.87051280604,25481.763542579734,8846.862951883813,14434.269824976569,11433.593576459383
19,8012.487147151469,8540.601561126434,20999.383238711973,55807.06478616801,55744.882426279786,27008.602923230403,15364.311803293383,19468.232746602658,36878.56010342524,13492.33056180289,25491.857449602463,8845.185605943187,14436.704140413372,11438.976949407637
20,8016.587828774818,8545.29641042999,21000.430523141007,55857.42434232911,55785.08476722101,27022.586196247827,15376.504416088788,19469.177811771468,36882.797605371736,13491.78928410173,25501.93399316853,8843.518263716684,14439.145381028471,11444.369573370353
21,8020.688045537315,8549.983752091459,21001.472493785706,55907.758409264556,55825.26783455585,27036.553195953504,15388.69405713888,19470.1229650264,36887.03123199434,13491.24666878109,25511.993111680855,8841.860917693744,14441.593522868121,11449.771452852921
22,8024.787771063661,8554.663561323576,21002.509131193485,55958.06673193153,55865.43148482248,27050.503849197565,15400.880673285908,19471.068136499125,36891.26090710893,13490.702704931244,25522.03474361391,8840.213560290493,14444.04854190357,11455.182592271898
23,8028.886978989569,8559.33581337424,21003.54041593257,56008.349055192244,55905.57557465496,27064.43808291494,15413.064211419454,19472.013256372877,36895.48655463173,13490.15738165436,25532.05882751432,8838.576183849802,14446.510414031321,11460.602995954898
24,8032.985642962021,8564.00048352677,21004.56632859224,56058.60512381581,55945.69996078424,27078.355824126276,15425.244618477009,19472.958254883513,36899.708098580246,13489.610688064684,25542.065302001338,8836.948780641336,14448.979115073276,11466.032668140519
25,8037.083736639461,8568.657547100285,21005.586849783456,56108.83468248023,55985.80450003973,27092.25699993843,15437.421841444462,19473.903062320518,36903.92546307412,13489.062613288601,25552.054105767624,8835.331342861602,14451.454620776989,11471.471612978217
26,8041.181233692072,8573.306979449913,21006.60196013928,56159.03747577422,56025.88904935026,27106.141537545325,15449.595827356692,19474.847609028056,36908.138572336014,13488.513146464731,25562.0251775796,8833.72386263406,14453.93690681584,11476.919834528258
27,8045.278107802003,8577.948755967194,21007.611640315346,56209.2132481995,56065.95346574549,27120.009364228627,15461.766523298053,19475.79182540599,36912.347350692755,13487.962276744114,25571.978456278346,8832.126332009115,14456.425948789258,11482.377336761536
28,8049.374332663627,8582.5828520803,21008.615870990365,56259.36174417244,56105.99760635706,27133.860407358432,15473.933876403,19476.73564191097,36916.55172257588,13487.409993290312,25581.913880779848,8830.538742964212,14458.92172222295,11487.844123559531
29,8053.469881983754,8587.209243254381,21009.614632866513,56309.482708026226,56146.02132841979,27147.694594394092,15486.097833856518,19477.678989057404,36920.75161252293,13486.856285279508,25591.831390075822,8828.961087403904,14461.424202569086,11493.320198714231
30,8057.564729481876,8591.82790499186,21010.60790667003,56359.575884012665,56186.02448927298,27161.511852884727,15498.258342894767,19478.621797418542,36924.94694517804,13486.301141900587,25601.730923234245,8827.393357159897,14463.93336520648,11498.805565927983
31,8061.658848890436,8596.438812832726,21011.595673151583,56409.641016304435,56226.00694636164,27175.312110470186,15510.415350805551,19479.563997627512,36929.137645293114,13485.744552355396,25611.612419399895,8825.835543991117,14466.449185440886,11504.300228813463
32,8065.75221395503,8601.041942354832,21012.577913086778,56459.677848996835,56265.96855723777,27189.09529488158,15522.568804928882,19480.505520378316,36933.3236377285,13485.186505858663,25621.475817795013,8824.287639583777,14468.971638505152,11509.804190893512
33,8069.844798434657,8605.637269174214,21013.554607276623,56509.68612610991,56305.909179561364,27202.861333942066,15534.718652657493,19481.44629642692,36937.50484745412,13484.6269916383,25631.321057719815,8822.749635551445,14471.500699559436,11515.317455601096
34,8073.9365761019635,8610.224768945363,21014.525736548007,56559.66559159035,56345.82867110205,27216.610155567523,15546.864841437404,19482.386256592195,36941.68119955007,13484.065998935379,25641.148078553117,8821.22152343508,14474.03634369143,11520.840026279177
35,8078.027520743474,8614.80441736155,21015.49128175411,56609.615989313475,56385.726889739664,27230.3416877673,15559.007318768423,19483.32533175711,36945.85261920789,13483.50351700434,25650.9568197529,8819.703294703166,14476.578545916584,11526.371906180682
36,8082.117606159843,8619.376190155099,21016.45122377496,56659.53706308524,56425.60369346621,27244.05585864492,15571.146032204702,19484.263452869607,36950.019031731135,13482.939535113057,25660.747220856898,8818.194940751684,14479.127281178326,11531.913098468338
37,8086.206806166053,8623.940063097698,21017.405543517845,56709.428556644474,56465.458940386656,27257.75259639872,15583.280929355271,19485.200550943737,36954.180362536514,13482.374042542984,25670.51922148326,8816.696452904258,14481.682524348249,11537.46360621463
38,8090.295094591708,8628.49601200071,21018.35422191772,56759.29021366435,56505.29248872007,27271.431829322704,15595.411957884511,19486.13655706066,36958.33653715451,13481.807028589268,25680.272761330983,8815.207822412187,14484.244250226371,11543.0234324017
39,8094.382445281212,8633.04401271543,21019.297239937765,56809.12177775488,56545.104196801214,27285.09348580706,15607.539065512756,19487.071402369656,36962.48748123066,13481.238482560804,25690.0077801806,8813.729040454522,14486.812433541341,11548.592579921247
40,8098.468832094051,8637.584041133414,21020.234578569813,56858.92299246471,56584.89392308134,27298.737494339,15619.662200016788,19488.005018089192,36966.633120526,13480.66839378047,25699.724217894764,8812.26009813813,14489.38704895063,11554.171051574467
41,8102.554228904997,8642.11607318677,21021.166218834784,56908.69360128296,56624.66152612985,27312.363783503417,15631.781309230375,19488.937335507948,36970.773380918356,13480.096751585112,25709.422014418724,8810.800986497776,14491.96807104082,11559.758850071963
42,8106.638609604362,8646.640084848425,21022.09214178313,56958.43334764168,56664.40686463509,27325.972281983588,15643.896341044745,19489.86828598585,36974.908188402864,13479.52354532576,25719.10110978108,8809.351696496182,14494.55547432773,11565.35597803362
43,8110.7219480982085,8651.156052132466,21023.012328495388,57008.141974917366,56704.129797405774,27339.5629185619,15656.007243409173,19490.79780095508,36979.03746909317,13478.94876436769,25728.761444094194,8807.91221902411,14497.149233256723,11570.962437988568
44,8114.804218308616,8655.663951094382,21023.926760082522,57057.819226433225,56743.83018337226,27353.135622120455,15668.113964331502,19491.72581192114,36983.161149222105,13478.372398090509,25738.402957554827,8806.482544900407,14499.749322202908,11576.578232375068
45,8118.885394173896,8660.163757831388,21024.835417686445,57107.46484546121,56783.507881587466,27366.69032164192,15680.216451878607,19492.652250463838,36987.27915514264,13477.794435888381,25748.025590444777,8805.062664872135,14502.355715471387,11582.203363540462
46,8122.965449648812,8664.655448482723,21025.738282480397,57157.07857522382,56823.16275122845,27380.226946210103,15692.314654176966,19493.57704823839,36991.39141332874,13477.214867169992,25757.629283131388,8803.652569614593,14504.96838729738,11587.837833741025
47,8127.044358704838,8669.138999229901,21026.635335669507,57206.66015889645,56862.79465159734,27393.745425010668,15704.408519413128,19494.50013697635,36995.49785037623,13476.633681358779,25767.21397606812,8802.2522497314,14507.5873118466,11593.481645141988
48,8131.122095330382,8673.614386297035,21027.526558491212,57256.20933960908,56902.403442122675,27407.24568733184,15716.497995834321,19495.42144848678,36999.59839300368,13476.050867892975,25776.7796097952,8800.861695754578,14510.212463215366,11599.134799817353
49,8135.198633531001,8678.08158595113,21028.411932215608,57305.72586044836,56941.98898236042,27420.727662565172,15728.583031748878,19496.3409146571,37003.69296805336,13475.46641622577,25786.326124940086,8799.48089814466,14512.8438154309,11604.797299749875
50,8139.273947329663,8682.540574502342,21029.291438146003,57355.20946445983,56981.55113199559,27434.1912802061,15740.663575526794,19497.25846745423,37007.78150249183,13474.880315825369,25795.85346221814,8798.109847290727,14515.481342451525,11610.469146830956
51,8143.3480107669475,8686.991328304297,21030.165057619353,57404.65989464975,57021.089750842875,27447.636469854726,15752.7395756002,19498.17403892564,37011.86392341118,13474.292556175142,25805.36156243315,8796.74853351047,14518.1250181669,11616.150342860577
52,8147.420797901297,8691.433823754365,21031.032772006678,57454.076893987134,57060.604698848256,27461.06316121644,15764.810980463986,19499.0875612003,37015.940158029596,13473.703126773722,25814.850366477942,8795.396947050329,14520.774816398252,11621.840889547246
53,8151.492282809229,8695.868037293929,21031.894562713504,57503.460205405856,57100.09583609,27474.471284102736,15776.877738676147,19499.998966489726,37020.010133692354,13473.11201713512,25824.31981533487,8794.055078085523,14523.43071089864,11627.540788507858
54,8155.562439585597,8700.293945408725,21032.75041118034,57552.80957180663,57139.56302277997,27487.860768431732,15788.93979885841,19500.908187089037,37024.073777872654,13472.519216788836,25833.769850076478,8792.722916720142,14526.092675353122,11633.250041267687
55,8159.631242343772,8704.71152462905,21033.6002988831,57602.12473605898,57179.0061192648,27501.23154422894,15800.997109696707,19501.81515537798,37028.13101817243,13471.924715279922,25843.20041186605,8791.400452987264,14528.760683379081,11638.96864926026
56,8163.698665215917,8709.120751530118,21034.444207333523,57651.405441003415,57218.424986026825,27514.58354162799,15813.049619941727,19502.719803821874,37032.18178232327,13471.328502169172,25852.611441958146,8790.087676848967,14531.434708526383,11644.696613827302
57,8167.764682353195,8713.521602732304,21035.282118079664,57700.65142945332,57257.819483685744,27527.91669087122,15825.09727840934,19503.62206497274,37036.225998187285,13470.730567033206,25862.0028816992,8788.78457819648,14534.114724277615,11650.433936218706
58,8171.829267925977,8717.914054901426,21036.114012706297,57749.86244419701,57297.18947299939,27541.2309223104,15837.140033981139,19504.521871470253,37040.26359375778,13470.130899464504,25871.374672527996,8787.49114685022,14536.800704048415,11656.180617592352
59,8175.892396124122,8722.298084749069,21036.939872835355,57799.03822799991,57336.53481486509,27554.526166407453,15849.17783560495,19505.4191560428,37044.2944971603,13469.529489071625,25880.72675597649,8786.20737255991,14539.492621187572,11661.936659014167
60,8179.954041157136,8726.673669032805,21037.759680126335,57848.178523606286,57375.85537032086,27567.802353734998,15861.210632295371,19506.313851508457,37048.318636653414,13468.926325479202,25890.059073670018,8784.933245004619,14542.19044897738,11667.702061457943
61,8184.014177254469,8731.040784556528,21038.573416276864,57897.28307374171,57415.151000546444,27581.05941497726,15873.238373134203,19507.205890776084,37052.33594062953,13468.321398328193,25899.37156732815,8783.668753792927,14544.894160633867,11673.476825805341
62,8188.072778665687,8735.399408170691,21039.381063022935,57946.35162111464,57454.42156686463,27594.297280930463,15885.261007270963,19508.09520684627,37056.346337615636,13467.714697275835,25908.664178765146,8782.413888462905,14547.603729306931,11679.26095284577
