time (min),male1,male2,male3,male4,male5,male6
199,89,58,13,94,1,0
200,77,92,84,100,11,24
201,46,82,64,89,3,73
202,77,53,27,79,6,88
203,79,85,22,97,10,105
204,59,86,43,88,50,119
205,10,93,18,45,27,70
206,36,100,65,83,34,59
207,39,14,6,81,120,65
208,34,11,19,82,121,62
209,85,45,55,89,108,95
210,67,70,32,99,89,105
211,92,83,53,99,104,62
212,67,89,46,84,138,116
213,69,77,27,87,59,107
214,4,110,21,78,66,73
215,0,95,72,81,50,72
216,0,48,51,91,72,76
217,0,48,52,101,53,78
218,73,61,15,82,36,83
219,78,78,42,52,134,78
220,80,92,4,47,84,49
221,74,94,41,68,44,79
222,73,53,75,66,45,85
223,55,83,59,27,63,76
224,10,87,18,18,0,16
225,62,18,26,14,64,83
226,29,58,0,40,0,119
227,101,68,0,23,0,90
228,70,26,11,61,0,4
229,71,82,68,116,0,46
230,62,81,99,93,0,114
231,57,73,88,68,0,82
232,48,63,24,74,0,77
233,64,28,47,67,0,21
234,84,44,12,61,20,84
235,85,84,36,79,0,11
236,29,89,54,92,11,0
237,52,51,31,115,7,38
238,71,46,45,80,0,93
239,73,53,89,93,0,89
240,38,81,64,89,36,91
241,85,39,66,90,33,112
242,0,59,22,90,0,72
243,4,102,63,87,0,61
244,23,51,22,110,0,96
245,53,49,60,92,0,78
246,60,63,39,106,0,77
247,73,73,44,75,0,65
248,69,38,8,61,0,97
249,96,13,16,84,0,86
250,34,45,27,107,0,86
251,73,53,87,123,0,84
252,42,44,103,94,0,100
253,43,67,27,81,0,39
254,89,68,32,85,0,81
255,101,104,0,97,0,77
256,11,104,6,72,0,104
257,0,101,0,86,0,58
258,15,57,0,98,0,46
259,28,72,0,109,0,73
260,48,91,24,108,0,82
261,0,51,3,79,0,29
262,9,72,30,22,0,112
263,0,73,23,0,0,49
264,52,108,26,0,0,91
265,71,106,34,7,0,117
266,59,79,21,63,0,10
267,50,85,6,61,0,61
268,82,82,0,112,0,70
269,13,100,3,115,0,104
270,26,42,34,95,0,68
271,65,67,22,93,0,92
272,35,52,38,53,0,99
273,59,64,27,47,0,64
274,84,57,54,74,22,89
275,70,59,33,56,0,67
276,86,60,89,64,58,125
277,63,91,78,65,12,59
278,52,55,76,91,26,30
279,51,54,15,49,0,56
280,38,78,23,81,0,86
281,60,105,53,97,0,96
282,60,62,16,111,0,3
283,85,113,18,12,9,0
284,66,45,41,14,29,0
285,18,77,80,13,51,36
286,94,77,10,30,0,83
287,53,67,56,82,0,70
288,61,79,15,87,0,118
289,20,60,16,16,0,88
290,0,56,44,41,0,71
291,60,48,22,93,0,112
292,55,64,81,66,0,92
293,62,21,75,115,88,62
294,83,61,78,77,71,65
295,78,106,23,110,119,21
296,72,63,30,92,58,0
297,59,36,11,80,96,0
298,2,20,0,64,154.0937406,17
299,26,42,0,89,68,18
300,66,68,10,81,57,22
301,58,65,18,91,0,20
302,68,56,48,65,0,7
303,70,61,24,112,0,47
304,50,62,50,31,0,77
305,2,103,33,83,8,37
306,18,98,67,91,0,29
307,0,16,33,88,18,13
308,17,72,73,83,51,11
