time (min),male1,male2,male3,male4,male5,male6
63,12683.439672756365,13664.942792543552,12859.272989396297,12730.358833436816,12341.572508789282,13471.940053984847
64,12679.452549452133,13662.886151603658,12859.048154453601,12730.723608917828,12341.30737995493,13470.222601836495
65,12679.032890086142,13662.515213989705,12858.92470444123,12728.754742880228,12341.432314744841,13470.194085545105
66,12682.18667403775,13663.44418358445,12861.576840479202,12725.105343159317,12341.390802573304,13472.341553709766
67,12686.165964307027,13664.836846367585,12860.454048816533,12724.580105091922,12339.947493260453,13475.177357544444
68,12685.94217826464,13667.19122588452,12860.624584575291,12728.62114705004,12341.199722985511,13475.592057934504
69,12680.342731298126,13665.969855734194,12858.779253028932,12729.090352993024,12339.720163884756,13471.569386754487
70,12676.627722062844,13663.922757881306,12859.052233377262,12728.678894583742,12339.98843011737,13471.590924475622
71,12677.940404749854,13664.38133507113,12859.820213044897,12726.043173893931,12339.31979127164,13472.687776883506
72,12682.584768133065,13665.058744104781,12860.16631401795,12720.487722978121,12338.985296065757,13475.657255772396
73,12684.72174482824,13665.99334127747,12860.312551918276,12720.809653270326,12337.156735516119,13477.528266453697
74,12682.953994627518,13667.203426793069,12857.503274059341,12726.918021269312,12337.867180609523,13476.824804394828
75,12676.888447799867,13665.05342111766,12856.558590928293,12729.079873693157,12339.612045165612,13474.519735270396
76,12674.198910056746,13664.650318472803,12857.067075016104,12727.89758885996,12338.713547524554,13472.669979545368
77,12677.751404835148,13664.818102911875,12859.400534746595,12720.51017734333,12337.257989155474,13474.617170262622
78,12683.338715444446,13665.03014336197,12859.782451225907,12716.845117483757,12334.893880344238,13478.332614884048
79,12684.04634245171,13665.854325854392,12858.843277295995,12720.209587920419,12333.570175299423,13477.515259097932
80,12680.612726825077,13667.376588665467,12856.979692881692,12725.77641588735,12336.522178902414,13476.122286843101
81,12672.663203876677,13665.064171835285,12856.658847045921,12725.473050166704,12336.959966459695,13474.871117999928
82,12672.254721261814,13664.160960344048,12856.065034140634,12722.752202933967,12336.22553768081,13474.844426263122
83,12678.239114938984,13664.305651902467,12858.275578038203,12713.867389883939,12333.882754042967,13477.308808577229
84,12681.892203386462,13665.576881308903,12857.879128692213,12712.257805066092,12330.89013256412,13479.017400530674
85,12680.350234416543,13665.713777528332,12854.496620070448,12718.13336629726,12330.511577294928,13478.939303922545
86,12674.776393283997,13665.756194628584,12853.822417881309,12724.833230892626,12334.510746397233,13476.113300042123
87,12669.525222576487,13664.521457064811,12852.054822307184,12725.19574976522,12334.423112889692,13474.652775799257
88,12672.127152882238,13664.028580352802,12855.160289095662,12716.073339373086,12332.34623312346,13476.78283582687
89,12677.154491089103,13663.409699193873,12855.610954154605,12708.398106585872,12330.333208725962,13477.702317082994
90,12679.012390520838,13663.687542227346,12855.366578415329,12710.50940740427,12326.517074491712,13478.249113330146
91,12676.008485006103,13664.038958422061,12852.515771552955,12716.334299136972,12329.242210284168,13476.647867304027
92,12667.35044848137,13663.847390768951,12850.600780444884,12721.127920016921,12331.293829050956,13475.730079583847
93,12665.51740491554,13662.849593612087,12851.906954224152,12719.160896971132,12330.82068835094,13476.051795453988
94,12671.824397655948,13662.22064817958,12852.2239116892,12707.540235344692,12327.475997584539,13476.461467728139
95,12675.678276320234,13663.205662131637,12853.91538218973,12703.159302373871,12324.578745852488,13478.443489532858
96,12675.598045071883,13663.005477068258,12850.285309268282,12707.81207652489,12323.403858070891,13478.329684266026
