time (min),fem1,fem2,fem3,fem4,fem5,fem6,fem7,fem8,fem9,fem10,fem11,fem12,fem13,fem14
14,1008.0012430556897,964.1363329910934,953.6601165673528,954.7656606947129,935.3617930823908,965.0189757108536,881.3551610093291,922.4672549130565,948.8508880366207,880.3825296871972,932.6158364352028,970.5973300128479,909.1698811061153,955.9823287303741
15,1005.0987127034886,961.3976579941886,950.9848991193123,952.0351893323235,932.5642809297824,962.2291584964478,878.5669639058065,919.7566209201257,946.0550517143787,877.6741842158457,929.9516680540281,967.7258221350423,906.4851064861365,953.3724749680654
16,1001.9781440760946,958.423610334636,948.0680150727144,949.0421298242984,929.5820493483553,959.1965569599022,875.6087344744559,916.8103848857533,943.0736680241074,874.7663769163804,927.0284568794084,964.6287168828942,903.607468851306,950.5259010185624
17,998.673405063459,955.2886188366397,945.0192558499953,945.9162704482442,926.3927711512376,955.9987467705763,872.5017396762885,913.70435510145,939.9167935282559,871.7235138915639,924.0090341003587,961.3670172417504,900.5671713652987,947.5517180949302
18,995.1545875851045,951.9271282698409,941.7334479151592,942.5884308786959,923.0052992422742,952.5577353681194,869.1726214217467,910.3816079487092,936.532344056073,868.432755559604,920.7457490664499,957.8682282919434,897.2927401087097,944.3270946232209
19,991.4403988602705,948.415245733771,938.2862206040015,939.0849415169837,919.4686642997123,948.9720836465749,865.723371046149,906.9132338574084,932.9625280883314,865.0743095411223,917.3207903246505,954.2330214192838,893.8569226300746,940.9483903529454
20,987.5641112190264,944.7494015250323,934.6932893339455,935.4355349785669,915.7965589645484,945.2301900363547,862.1422381649224,903.3077131417881,929.2443645146317,861.5023677406468,913.769936767472,950.3871771032816,890.2997456667491,937.4199172533305
21,983.552513167083,940.9026034253559,930.9239271170574,931.5685176413191,911.8971237594383,941.281105251615,858.3438172435929,899.5203009971491,925.3589882221972,857.801754731629,910.0390839073265,946.3937057043368,886.5448031599343,933.7363190794991
22,979.2602615713281,936.830313965034,926.9014750881955,927.511413974024,907.8076632994779,937.1551049651376,854.3993380876163,895.4963535299261,921.2372776787867,853.8614209514036,906.0853374675751,942.1849202957931,882.5810169410748,929.8136714303135
23,974.8387183134929,932.6073834488855,922.7877099902556,923.3326070917676,903.5460172609124,932.8784285420721,850.2376438841462,891.3539975422266,916.9901773435457,849.7840980371222,901.9789494045315,937.8258437016517,878.5437385702165,925.754391795147
24,970.2477051245453,928.2434117623471,918.5464025880483,919.0166500520055,899.1948942637079,928.4799062803918,846.0972334065804,887.092333448864,912.6411836622623,845.6369814863195,897.8141670552881,933.3021019745945,874.3412839274953,921.5622777155517
25,965.5168196108042,923.7417549350907,914.1106887280436,914.5351807989808,894.6471680489362,923.8754903939068,841.687104237885,882.5986858256794,908.0680810793073,841.2897336263824,893.4528542837642,928.7014785108895,869.9294205637508,917.2083703862204
26,960.5732570164595,919.1234692929319,909.5358168799686,909.9009733884208,889.9726510461587,919.1216900757192,837.2608148014991,878.0125954527551,903.3596954191572,836.8412762007787,888.9044883839102,923.8702752984287,865.402919197274,912.6903606836245
27,955.5344533599804,914.2943644892661,904.8262384855759,905.0844421716304,885.1406498932798,914.2196938603489,832.5759063796039,873.2590251696008,898.5311346340961,832.2272848321562,884.2330841806921,918.91037159262,860.7512809746125,908.0567259537224
28,950.2711399630256,909.2704656159807,899.8657943612295,900.0931592280698,880.1512513419144,909.1255341483029,827.7519897978943,868.3270496577871,893.5191638724812,827.4823687923176,879.3922560760006,913.7522223584587,855.9273799601226,903.2322721373529
29,944.8924166112222,904.1343266451039,894.8888246488281,895.069197799966,875.048486489615,903.9529559294929,822.9224087068235,863.3069519180559,888.3358571659949,822.6164234021119,874.4634182880375,908.495982036196,850.9828145292504,898.3049095242162
30,939.3037296806731,898.84988159822,889.6806524864681,889.7689152565588,869.7404576442294,898.5773302128392,817.8711932269083,858.1020784643331,882.9885592448703,817.5519134150567,869.3436783047092,903.0635717532109,845.8434429121821,893.1658888613424
31,933.6044854715377,893.381002031503,884.3125166668375,884.3181161733341,864.2787669451516,893.0396923832491,812.6150588155746,852.7235369701041,877.5180219879288,812.3708974532309,864.0454605819651,897.4896158660438,840.5799557628719,887.8578355080717
32,927.7722391514651,887.8431577934916,878.8681908911911,878.8100547840447,858.7090957282486,887.4075111262209,807.2665308268099,847.2697824250205,871.94245218317,807.0846362829811,858.674087091515,891.7490902136237,835.2241770580138,882.4801142479511
33,921.834955412283,882.2299983102436,873.3061767735772,873.1952056111622,853.1044558722245,881.6775836559882,801.9377402860154,841.7211379979741,866.2530037341392,801.7191152352177,853.2048900474645,885.9501238454231,829.7779868047328,877.0496929388124
34,915.7419352653459,876.438026379462,867.6061787124071,867.4620796298327,847.3376459699198,875.8319644481994,796.5151158463541,836.0365315411756,860.4903266324324,796.2679408696281,847.6279789904254,880.0052903985302,824.1858982914245,871.4361586930258
35,909.3708159074416,870.4257243473469,861.6872561685443,861.4864583128381,841.3543361112214,869.7212974722274,790.7916632192686,830.1526901659512,854.4542751077258,790.5345309914676,841.8311032652401,873.8760518801113,818.3919177647367,865.5917626243114
36,903.1475866063785,864.4632213825465,855.8872313358485,855.6042360625204,835.4223398209757,863.680753636679,785.1612960533023,824.2987317491087,848.4372191445077,784.9347638049984,836.0867340379342,867.7811540410847,812.6674010761778,859.8392057170131
37,896.5648329951414,858.2023932508189,849.6750987010811,849.322716289397,829.1807139899588,857.3316848934189,779.2149117993525,818.1216387106119,842.1373460180545,779.0081633575953,830.0074040086488,861.3970443389337,806.6222990146623,853.7307448214457
38,890.0132588373659,851.993299454137,843.557276896237,843.1227098268948,823.0011342252409,851.0223995528726,773.3440250686662,812.0381232468778,835.8981430441701,773.1410947315661,823.9714637490765,855.0018478616668,800.6559800759071,847.6680117162014
39,883.389796693095,845.676385481264,837.3608000824836,836.8818392825324,816.6770128099896,844.6434119676719,767.3637426043895,805.8170737501995,829.5491393273832,767.180858039781,817.9052244788812,848.543002902504,794.5660259013143,841.5878068219623
40,876.6511046026998,839.3020835676434,831.0462953984547,830.555983353747,810.3261189308321,838.1745596624593,761.4026285970866,799.5405191433614,823.0964750213311,761.1581802005261,811.750546061357,842.0285592966278,788.3589748980447,835.4061762158356
