time (min),fem1,fem2,fem3,fem4,fem5,fem6,fem7,fem8,fem9,fem10,fem11,fem12,fem13,fem14
91,41,53,17,61,93,59,44,89,121,61,47,33,47,0
92,12,79.54686296,53,85,99,43,61,89,134,51,28,70,89,0
93,35,43,47,2,97,40,79,83,71,63,9,78,61,0
94,34,72,54,16,41,79,50,93,80,39,94,25,20,0
95,46,75,4,86,23,49,26,33,107,16,89,44,59,22
96,5,50,51,75,122,55,43,62,79,1,75,40,25,51
97,37,61,41,83,99,50,44,77,31,9,57,12,0,41
98,50,46,57,76,70,48,49,57,136,53,42,49,10,53
99,46,39,8,87,57,41,56,78,98,31,11,75,39,45
100,29,77,22,72,43,48,53,86,29,22,18,72,0,28
101,44,33,62,68,58,74,54,74,0,56,17,86,66,34
102,34,25,73,108,108,49,31,92,0,9,57,76,20,19
103,51,41,38,91,67,55,68,88,37,11,79,45,21,46
104,17,42,70,95,70,25,1,66,14,7,72,47,33,53
105,52,15,47,79,117,52,18,22,88,15,68,14,38,53
106,20,11,59,68,100,49,60,51,92,14,86,48,15,0
107,5,11,54,54,47,65,37,70,104,0,78,7,13,0
108,17,52,62,87,16,46,45,99,64,18,58,48,56,0
109,13,56,58,77,71,58,33,81,47,39,27,36,54,0
110,15,62,45,69,80,44,29,25,74,84,85,48,64,0
111,33,20,64,69,90,46,43,20,38,47,80,37,112.927108,4
112,37,48,46,92,78,13,38,13,137.5826596,44,73,40,63,18
113,42,56,43,94,31,38,43,30,71,61,68,84,61,55
114,24,30,29,81,65,57,51,55,45,18,48,26,30,56
115,48,22,50,58,6,64,39,100,78,45,36,32,12,40
116,33,14,38,18,75,73,67,80,58,19,29,0,39,70
117,7,3,31,6,50,35,45,84,60,66,72,0,43,44
118,20,30,52,0,48,62,45,75,15,0,50,0,37,12
119,56,42,62,77,30,39,40,69,26,5,0,0,61,51
120,27,59,54,90,84,30,58,85,63,18,0,28,64,48
121,65,43,25,95,39,6,69,89,21,53,32,62,63,44
122,36,29,5,92,81,55,42,74,104,67,67,67,19,0
123,41,27,0,58,96,37,60,69,113,21,58,68,34,1
124,11,55,39,94,97,38,67,93,98,0,52,50,13,18
125,28,23,46,72,67,34,40,53,90,72,31,57,13,42
126,44,79.54686296,9,91,26,26,51,77,82,7,66,45,10,43
127,47,4,72,64,50,65,3,75,46,0,103,23,0,62
128,40,1,42,70,42,59,5,67,86,49,83,69,5,17
129,38,40,62,60,109,40,37,68,31,38,84,0,2,31
130,63,50,67,46,83,46,41,84,69,32,87,32,18,37
131,45,21,65,79,44,31,22,63,0,29,37,58,44,17
132,41,0,57,66,37,46,14,21,36,15,63,65,57,14
133,33,0,33,72,97,43,31,87,0,43,63,71,63,55
134,64,24,39,87,60,69,44,90,8,68,105,48,22,13
135,38,48,52,62,48,39,55,87,0,13,112,53,70,59
136,14,53,72,96,87,43,47,87,0,56,64,49,10,48
137,27,47,29,94,30,4,64,48,1,38,102,49,0,46
138,53,50,55,93,39,45,50,76,84,15,48,69,0,62
139,37,27,55,114.3688469,41,49,42,89,74,57,78,14,0,44
140,46,39,18,104,48,6,24,78,67,71,52,17,0,26
141,10,38,42,75,74,31,41,75,60,7,76,13,0,9
142,12,46,49,12,29,45,8,75,42,27,65,24,0,38
143,0,51,20,87,80,57,43,78,70,16,57,47,0,28
144,26,66,33,79,97,18,49,65,85,21,43,66,0,0
145,33,38,57,62,109,65,45,69,137.5826596,94,83,53,0,0
146,21,46,53,73,37,56,39,32,112,48,27,18,0,39
147,49,4,39,64,55,42,17,48,122,23,15,41,10,2
148,23,5,58,76,91,57,46,89,90,83,14,28,13,37
149,36,56,52,69,77,34,50,63,24,13,42,40,5,65
150,15,25,49,8,107,38,35,71,14,14,26,39,7,53
151,23,23,34,70,94,61,0,54,39,35,55,27,27,26
152,34,50,70,108,92,58,34,15,57,0,70,17,54,54
153,47,41,65,85,29,63,48,48,33,18,80,20,12,17
154,23,8,34,51,46,46,47,82,47,15,80,88,0,56
155,53,14,48,67,27,52,47,9,25,0,84,42,7,43
156,54,51,66,82,33,58,53,23,51,40,77,43,31,36
157,55,41,73,90,12,49,59,4,49,46,13,53,49,33
158,17,11,45,82,35,38,56,21,103,45,0,37,49,5
159,31,0,45,78,49,46,58,21,49,35,26,21,59,12
160,10,25,46,88,102,58,50,37,0,38,92,80,70,0
161,20,40,30,52,89,55,51,24,0,95,54,51,58,6
162,38,36,58,69,60,59,58,0,20,75,0,81,51,24
163,46,28,51,114.3688469,71,38,60,41,82,35,73,20,5,17
164,12,35,87,74,73,41,55,59,94,0,46,15,39,29
165,36,30,62,114,83,61,52,65,63,29,48,4,56,41
166,38,57,55,76,48,60,36,65,57,38,82,34,11,54
167,29,53,46,66,11,49,33,42,36,34,52,6,26,15
168,35,79.54686296,40,82,53,45,4,64,42,66,74,35,43,47
169,19,70,32,89,21,45,16,9,32,55,86,29,40,54
170,15,33,4,92,55,43,23,41,74,33,76,46,21,43
171,24,0,49,78,116,42,13,64,86,75,84,50,59,52
172,21,24,42,84,96,31,0,51,41,91,81,51,23,42
173,30,30,8,45,71,51,23,82,53,63,62,15,5,20
174,62,62,27,66,14,55,48,77,71,57,105,60,47,18
175,12,41,57,99,83,55,47,63,31,86,88,10,31,10
